name,type,scope,parameters,call,summary
GetTier0RouterLinkArpTable,Policy,Infra,{tier0id},/policy/api/v1/infra/tier-0s/{tier0id}/tier-1-interface/arp-table,Get tier-0 router link arp information
ReadTier0Interface,Policy,Infra,"{tier0id}, {localeserviceid}, {interfaceid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/interfaces/{interfaceid},Read Tier-0 interface
ListPolicyTlsConfigProfiles,Policy,Infra,,/policy/api/v1/infra/security/tls-inspection-config-profiles,List TLS Config Profiles
GetRegistrationToken,Policy,Infra,{token},/policy/api/v1/aaa/registration-token/{token},Get registration access token
ListIPFIXL2Profiles,Policy,Infra,,/policy/api/v1/infra/ipfix-l2-profiles,List IPFIX L2 Profiles
ListTier0LocaleServices,Policy,Infra,{tier0id},/policy/api/v1/infra/tier-0s/{tier0id}/locale-services,List Tier-0 locale-services
GetTier1GatewayArpProxies,Policy,Infra,{tier1id},/policy/api/v1/infra/tier-1s/{tier1id}/arp-proxies,Get Tier-1 Address Resolution Protocol Proxies
GetTier0IpsecVpnSessionSummary,Policy,Infra,"{tier0id}, {localeserviceid}, {serviceid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/ipsec-vpn-services/{serviceid}/summary,Get IPSec VPN Session Summary
GlobalInfraReadTier1StaticRoutes,Policy,Global,"{tier1id}, {routeid}",/policy/api/v1/global-infra/tier-1s/{tier1id}/static-routes/{routeid},Read Tier-1 static routes
GetInfraSegmentTepTable,Policy,Infra,{segmentid},/policy/api/v1/infra/segments/{segmentid}/tep-table,Get infra segment TEP table
GlobalInfraReadGatewayPolicyForDomain,Policy,Global,"{domainid}, {gatewaypolicyid}",/policy/api/v1/global-infra/domains/{domainid}/gateway-policies/{gatewaypolicyid},Read gateway policy
ListALBControllerClusterInfo,Policy,Infra,,/policy/api/v1/alb/controller-nodes/cluster,Returns information for Advanced Load Balancer controller cluster
ListGroupForDomain,Policy,Infra,{domainid},/policy/api/v1/infra/domains/{domainid}/groups,List Groups for a domain
ListRedirectionPoliciesAcrossAllDomains,Policy,Infra,,/policy/api/v1/infra/domains/redirection-policies,List redirection policies
GlobalInfraGetTier1ForwardingTable,Policy,Global,{tier1id},/policy/api/v1/global-infra/tier-1s/{tier1id}/forwarding-table,Get forwarding table from tier-1
ListPortDiscoveryBindings,Policy,Infra,"{tier1id}, {segmentid}, {portid}",/policy/api/v1/infra/tier-1s/{tier1id}/segments/{segmentid}/ports/{portid}/port-discovery-profile-binding-maps,List Port Discovery Profile Binding Maps
GlobalInfraReadTier0,Policy,Global,{tier0id},/policy/api/v1/global-infra/tier-0s/{tier0id},Read Tier-0
GetTunnels,Policy,Infra,"{siteid}, {enforcementpointid}, {nodeid}",/policy/api/v1/infra/sites/{siteid}/enforcement-points/{enforcementpointid}/host-transport-nodes/{nodeid}/tunnels,List of tunnels
ReadTier0SecurityFeature,Policy,Infra,{tier0id},/policy/api/v1/infra/tier-0s/{tier0id}/security-config,Read Security Feature
GlobalInfraGetPolicyNatRuleStatisticsFromTier1,Policy,Global,"{tier1id}, {natid}, {natruleid}",/policy/api/v1/global-infra/tier-1s/{tier1id}/nat/{natid}/nat-rules/{natruleid}/statistics,Get NAT Rule Statistics
ReadGatewayQosProfile,Policy,Infra,{qosprofileid},/policy/api/v1/infra/gateway-qos-profiles/{qosprofileid},Read gateway QoS profile
ReadALBStringGroup,Policy,Infra,{albstringgroupid},/policy/api/v1/infra/alb-string-groups/{albstringgroupid},Read ALBStringGroup
ReadALBControllerNodeVMDeploymentRequest,Policy,Infra,{nodeid},/policy/api/v1/alb/controller-nodes/deployments/{nodeid},Returns info for a Advanced Load Balancer controller deployment attempt
ListTNStatusForTZ,Policy,Infra,"{siteid}, {enforcementpointid}, {zoneid}",/policy/api/v1/infra/sites/{siteid}/enforcement-points/{enforcementpointid}/transport-zones/{zoneid}/transport-node-status,Read status of transport nodes in a transport zone
GlobalInfraLookupAddressViaTier1DNSForwarder,Policy,Global,{tier1id},/policy/api/v1/global-infra/tier-1s/{tier1id}/dns-forwarder/nslookup,Resolve a given address via the dns forwarder at Tier1
GlobalInfraGetGroupsForObject,Policy,Global,,/policy/api/v1/global-infra/group-associations,Get groups for which the given object is a member
GlobalInfraGetGroupIPMembers,Policy,Global,"{domainid}, {groupid}",/policy/api/v1/global-infra/domains/{domainid}/groups/{groupid}/members/ip-addresses,Get IP addresses that belong to this Group
ListALBWafPolicy,Policy,Infra,,/policy/api/v1/infra/alb-waf-policies,List ALBWafPolicy for infra
ListTier1Interfaces,Policy,Infra,"{tier1id}, {localeserviceid}",/policy/api/v1/infra/tier-1s/{tier1id}/locale-services/{localeserviceid}/interfaces,List Tier-1 interfaces
ListWidgetConfigurations,Policy,Infra,{viewid},/policy/api/v1/ui-views/{viewid}/widgetconfigurations,Returns the Widget Configurations based on query criteria defined in WidgetQueryParameters.
GetInfraPortQoSBinding,Policy,Infra,"{segmentid}, {portid}, {portqosprofilebindingmapid}",/policy/api/v1/infra/segments/{segmentid}/ports/{portid}/port-qos-profile-binding-maps/{portqosprofilebindingmapid},Get Port QoS Profile Binding Map
GetTnHyperbusStatus,Policy,Infra,"{siteid}, {enforcementpointid}, {nodeid}",/policy/api/v1/infra/sites/{siteid}/enforcement-points/{enforcementpointid}/host-transport-nodes/{nodeid}/hyperbus-status,Get the container hyperbus status on given node
GlobalInfraGetTier0BgpNeighborAdvertisedRoutes,Policy,Global,"{tier0id}, {localeserviceid}, {neighborid}",/policy/api/v1/global-infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/bgp/neighbors/{neighborid}/advertised-routes,Get BGP neighbor advertised routes
GetFloodProtectionProfile,Policy,Infra,{floodprotectionprofileid},/policy/api/v1/infra/flood-protection-profiles/{floodprotectionprofileid},Get Flood Protection Profile
GlobalInfraListPolicyFirewallFloodProtectionBindings,Policy,Global,"{domainid}, {groupid}",/policy/api/v1/global-infra/domains/{domainid}/groups/{groupid}/firewall-flood-protection-profile-binding-maps,List Firewall Flood Protection Profile Binding Maps
GetTier1SegmentsByState,Policy,Infra,{tier1id},/policy/api/v1/infra/tier-1s/{tier1id}/segments/state,Get tier-1 segments by configuration state
GetTier1IPSecVpnSessionWithSensitiveData,Policy,Infra,"{tier1id}, {localeserviceid}, {serviceid}, {sessionid}?action=show_sensitive_data",/policy/api/v1/infra/tier-1s/{tier1id}/locale-services/{localeserviceid}/ipsec-vpn-services/{serviceid}/sessions/{sessionid}?action=show_sensitive_data,Get IPSec VPN Session
ReadInfraSegmentDhcpStaticBinding,Policy,Infra,"{segmentid}, {bindingid}",/policy/api/v1/infra/segments/{segmentid}/dhcp-static-binding-configs/{bindingid},Read DHCP static binding
ReadCommunityList,Policy,Infra,"{tier0id}, {communitylistid}",/policy/api/v1/infra/tier-0s/{tier0id}/community-lists/{communitylistid},Read a BGP community list
ListFirewallFloodProtectionBindingsAcrossDomains,Policy,Infra,,/policy/api/v1/infra/domains/firewall-flood-protection-profile-binding-maps,List Firewall Flood Protection Profile Binding Maps for all domains
GetTier1DNSForwarderStatistics,Policy,Infra,{tier1id},/policy/api/v1/infra/tier-1s/{tier1id}/dns-forwarder/statistics,Get tier-1 DNS forwarder statistics
GlobalInfraGetInfraSegmentTepTable,Policy,Global,{segmentid},/policy/api/v1/global-infra/segments/{segmentid}/tep-table,Get infra segment TEP table
ListALBDnsPolicy,Policy,Infra,,/policy/api/v1/infra/alb-dns-policies,List ALBDnsPolicy for infra
GlobalInfraGetGroupsForIPAddress,Policy,Global,,/policy/api/v1/global-infra/ip-address-group-associations,Get groups for which the given IP address is a member
GlobalInfraGetIPDiscoveryProfile,Policy,Global,{ipdiscoveryprofileid},/policy/api/v1/global-infra/ip-discovery-profiles/{ipdiscoveryprofileid},Get IP Discovery Profile
ListIDFWStatusForAllTransportNodesInAComputeCollection,Policy,Infra,{computecollectionid},/policy/api/v1/infra/settings/firewall/idfw/compute-collections/{computecollectionid}/transport-nodes/status,List IDFW status for Transport Nodes in a Compute Collection
ListInfraPortQoSBindings,Policy,Infra,"{segmentid}, {portid}",/policy/api/v1/infra/segments/{segmentid}/ports/{portid}/port-qos-profile-binding-maps,List Port QoS Profile Binding Maps
GetMalwarePreventionProfile,Policy,Infra,{profileid},/policy/api/v1/infra/settings/firewall/security/malware-prevention-service/profiles/{profileid},Get Malware Prevention profile.
GlobalInfraListSecurityRules,Policy,Global,"{domainid}, {securitypolicyid}",/policy/api/v1/global-infra/domains/{domainid}/security-policies/{securitypolicyid}/rules,List rules
ListEdgeNodesUnderEdgeClusterForEnforcementPoint,Policy,Infra,"{siteid}, {enforcementpointid}, {edgeclusterid}",/policy/api/v1/infra/sites/{siteid}/enforcement-points/{enforcementpointid}/edge-clusters/{edgeclusterid}/edge-nodes,"List Edge Nodes under an Enforcement Point, Edge Cluster"
ListClusterBackupTimestamps,Policy,Infra,,/policy/api/v1/cluster/restore/backuptimestamps,List timestamps of all available Cluster Backups.
GlobalInfraGetTier0InterfaceArpTable,Policy,Global,"{tier0id}, {localeserviceid}, {interfaceid}",/policy/api/v1/global-infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/interfaces/{interfaceid}/arp-table,Get ARP table from tier-0 interface
PolicyGetNvdsUpgradeReadinessCheckSummary,Policy,Infra,{precheckid},/policy/api/v1/infra/nvds-urt/status-summary/{precheckid},Get summary of N-VDS to VDS migration
GlobalInfraGetInfraSegmentsByState,Policy,Global,,/policy/api/v1/global-infra/segments/state,Get infra segments by configuration state
ListPolicyNatRulesStatisticsFromTier1,Policy,Infra,{tier1id},/policy/api/v1/infra/tier-1s/{tier1id}/nat/statistics,List NAT Rules Statistics
GetTier0IPSecVpnPeerConfig,Policy,Infra,"{tier0id}, {localeserviceid}, {serviceid}, {sessionid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/ipsec-vpn-services/{serviceid}/sessions/{sessionid}/peer-config,Get IPSec VPN configuration for the peer site
GlobalInfraViewTier0GatewayFirewall,Policy,Global,{tier0id},/policy/api/v1/global-infra/tier-0s/{tier0id}/gateway-firewall,"Get list of gateway policies with rules that belong
to the specific Tier-0 logical router.
"
GetL2VpnSessionStatistics,Policy,Infra,"{tier0id}, {localeserviceid}, {serviceid}, {sessionid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/l2vpn-services/{serviceid}/sessions/{sessionid}/statistics,Get L2VPN session statistics under Tier-0
GetPolicyPimRpMappings,Policy,Infra,"{tier0id}, {localeserviceid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/multicast/pim-rp-mappings,Get PIM Rendezvous Point Mappings
GetTier0InterfaceStatistics,Policy,Infra,"{tier0id}, {localeserviceid}, {interfaceid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/interfaces/{interfaceid}/statistics,Get tier-0 interface statistics information
ListALBErrorPageBody,Policy,Infra,,/policy/api/v1/infra/alb-error-page-bodies,List ALBErrorPageBody for infra
GetInfraSegmentPortMacTable,Policy,Infra,"{segmentid}, {portid}",/policy/api/v1/infra/segments/{segmentid}/ports/{portid}/mac-table,Get MAC table for infra segment port
GlobalInfraGetTier0BgpNeighborRoutesInCsvFormat,Policy,Global,"{tier0id}, {localeserviceid}, {neighborid}",/policy/api/v1/global-infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/bgp/neighbors/{neighborid}/routes?format=csv,Get routes learned by BGP neighbor in CSV format
GlobalInfraGetTier0InterfaceArpProxiesInCsv,Policy,Global,"{tier0id}, {localeserviceid}, {interfaceid}",/policy/api/v1/global-infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/interfaces/{interfaceid}/arp-proxy?format=csv,Get Tier-0 Interface Address Resolution Protocol Proxies in CSV format
GetTier0InterfaceArpTableCsv,Policy,Infra,"{tier0id}, {localeserviceid}, {interfaceid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/interfaces/{interfaceid}/arp-table?format=csv,Get ARP table from tier-0 interface in CSV format
GlobalInfraListGatewayRules,Policy,Global,"{domainid}, {gatewaypolicyid}",/policy/api/v1/global-infra/domains/{domainid}/gateway-policies/{gatewaypolicyid}/rules,List rules
ReadALBControllerNodeVMDeploymentStatus,Policy,Infra,{nodeid},/policy/api/v1/alb/controller-nodes/deployments/{nodeid}/status,Returns the status of the VM creation/deletion
ReadTier1StaticRoutes,Policy,Infra,"{tier1id}, {routeid}",/policy/api/v1/infra/tier-1s/{tier1id}/static-routes/{routeid},Read Tier-1 static routes
GetKubeconfigInfo,Policy,Infra,{siteid},/policy/api/v1/infra/sites/{siteid}/napp/deployment/kubeconfig,Get information about kubeconfig file
GetTier1RouterLinkArpTable,Policy,Infra,{tier1id},/policy/api/v1/infra/tier-1s/{tier1id}/tier-0-interface/arp-table,Get tier-1 router link arp information
GetDownlinkPortArpProxiesForInfraSegment,Policy,Infra,{segmentid},/policy/api/v1/infra/segments/{segmentid}/arp-proxy,Get downlink port Address Resolution Protocol Proxies for infra segment
GlobalInfraGetTier1InterfaceArpProxies,Policy,Global,"{tier1id}, {localeserviceid}, {interfaceid}",/policy/api/v1/global-infra/tier-1s/{tier1id}/locale-services/{localeserviceid}/interfaces/{interfaceid}/arp-proxy,Get Tier-1 Interface Address Resolution Protocol Proxies
GlobalInfraReadIPFIXL2Profile,Policy,Global,{ipfixl2profileid},/policy/api/v1/global-infra/ipfix-l2-profiles/{ipfixl2profileid},Get IPFIX L2 Profile
GlobalInfraGetDownlinkPortArpTableForInfraSegmentInCsv,Policy,Global,{segmentid},/policy/api/v1/global-infra/segments/{segmentid}/gateway-interface-arp-table?format=csv,Get ARP table for downlink router port on tier-0 router in CSV
GlobalInfraGetTier1SessionTimerProfileBinding,Policy,Global,"{tier1id}, {sessiontimerprofilebindingid}",/policy/api/v1/global-infra/tier-1s/{tier1id}/session-timer-profile-bindings/{sessiontimerprofilebindingid},Get Session Timer Profile Binding Map for Tier-1 Logical Router
GlobalInfraReadSegmentDhcpStaticBindingState,Policy,Global,"{tier1id}, {segmentid}, {bindingid}",/policy/api/v1/global-infra/tier-1s/{tier1id}/segments/{segmentid}/dhcp-static-bindings/{bindingid}/state,Read DHCP static binding state
GetGroupLPMembers,Policy,Infra,"{domainid}, {groupid}",/policy/api/v1/infra/domains/{domainid}/groups/{groupid}/members/logical-ports,Get logical ports that belong to this Group
GetTier1VpnIPSecVpnSessionStatistics,Policy,Infra,"{tier1id}, {serviceid}, {sessionid}",/policy/api/v1/infra/tier-1s/{tier1id}/ipsec-vpn-services/{serviceid}/sessions/{sessionid}/statistics,Get IPSec VPN session statistics under Tier-1
GlobalInfraGetGroupDiscoveredPortMembers,Policy,Global,"{domainid}, {groupid}",/policy/api/v1/global-infra/domains/{domainid}/groups/{groupid}/members/dvports,Get discovered ports that belong to this Group
ReadTlsRule,Policy,Infra,"{policyid}, {ruleid}",/policy/api/v1/infra/tls-inspection-policies/{policyid}/rules/{ruleid},Read rule
GetSegmentPortStatistics,Policy,Infra,"{tier1id}, {segmentid}, {portid}",/policy/api/v1/infra/tier-1s/{tier1id}/segments/{segmentid}/ports/{portid}/statistics,Get tier-1 segment port statistics information
GlobalInfraGetInfraSegmentQoSBinding,Policy,Global,"{segmentid}, {segmentqosprofilebindingmapid}",/policy/api/v1/global-infra/segments/{segmentid}/segment-qos-profile-binding-maps/{segmentqosprofilebindingmapid},Get Segment QoS Profile Binding Map
ReadDomainDeploymentMapForInfra,Policy,Infra,"{domainid}, {domaindeploymentmapid}",/policy/api/v1/infra/domains/{domainid}/domain-deployment-maps/{domaindeploymentmapid},Read a DomainDeploymentMap
GetTier1RouterLinkStatistics,Policy,Infra,{tier1id},/policy/api/v1/infra/tier-1s/{tier1id}/tier-0-interface/statistics,Get tier-1 router link statistics information
GetProviderGroupVMMembers,Policy,Infra,"{tier0id}, {groupid}",/policy/api/v1/infra/tier-0s/{tier0id}/groups/{groupid}/members/virtual-machines,Get Virtual machines that belong to this Tier-0 Group
ListAllLldpNeighborInterfaces,Policy,Infra,"{siteid}, {enforcementpointid}, {nodeid}",/policy/api/v1/infra/sites/{siteid}/enforcement-points/{enforcementpointid}/host-transport-nodes/{nodeid}/lldp/interfaces,List LLDP Neighbor Properties of given Node
ReadLBAppProfile,Policy,Infra,{lbappprofileid},/policy/api/v1/infra/lb-app-profiles/{lbappprofileid},Read LBAppProfile
GetTier0InterfaceArpProxiesInCsv,Policy,Infra,"{tier0id}, {localeserviceid}, {interfaceid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/interfaces/{interfaceid}/arp-proxy?format=csv,Get Tier-0 Interface Address Resolution Protocol Proxies in CSV format
ReadALBWafPolicy,Policy,Infra,{albwafpolicyid},/policy/api/v1/infra/alb-waf-policies/{albwafpolicyid},Read ALBWafPolicy
ListCaBundles,Policy,Infra,,/policy/api/v1/infra/cabundles,Returns information about all the CA bundles
GetTier1L2VpnSessionStatistics,Policy,Infra,"{tier1id}, {localeserviceid}, {serviceid}, {sessionid}",/policy/api/v1/infra/tier-1s/{tier1id}/locale-services/{localeserviceid}/l2vpn-services/{serviceid}/sessions/{sessionid}/statistics,Get L2VPN session statistics under Tier-1
ReadALBVSDataScriptSet,Policy,Infra,{albvsdatascriptsetid},/policy/api/v1/infra/alb-vs-data-script-sets/{albvsdatascriptsetid},Read ALBVSDataScriptSet
ListTransportZonesForEnforcementPoint,Policy,Infra,"{siteid}, {enforcementpointid}",/policy/api/v1/infra/sites/{siteid}/enforcement-points/{enforcementpointid}/transport-zones,List Transport Zones under an Enforcement Point
ReadGlobalConfig,Policy,Infra,,/policy/api/v1/infra/global-config,Read global configuration
ListTier0VpnIPSecVpnSessions,Policy,Infra,"{tier0id}, {serviceid}",/policy/api/v1/infra/tier-0s/{tier0id}/ipsec-vpn-services/{serviceid}/sessions,Get IPSec VPN sessions list result
GlobalInfraListGroupForDomain,Policy,Global,{domainid},/policy/api/v1/global-infra/domains/{domainid}/groups,List Groups for a domain
GetTier1InterfaceArpProxies,Policy,Infra,"{tier1id}, {localeserviceid}, {interfaceid}",/policy/api/v1/infra/tier-1s/{tier1id}/locale-services/{localeserviceid}/interfaces/{interfaceid}/arp-proxy,Get Tier-1 Interface Address Resolution Protocol Proxies
ListPolicyLatencyProfiles,Policy,Infra,,/policy/api/v1/infra/latency-profiles,List latency profiles
GlobalInfraGetSegmentMonitoringBindingMirrorStackStatus,Policy,Global,"{tier1id}, {segmentid}, {segmentmonitoringprofilebindingmapid}",/policy/api/v1/global-infra/tier-1s/{tier1id}/segments/{segmentid}/segment-monitoring-profile-binding-maps/{segmentmonitoringprofilebindingmapid}/mirror-stack-status,Get mirror stack status for Segment Monitoring Profile Binding Map
GetTier0IPSecVpnLocalEndpoint,Policy,Infra,"{tier0id}, {localeserviceid}, {serviceid}, {localendpointid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/ipsec-vpn-services/{serviceid}/local-endpoints/{localendpointid},Get IPSec VPN local endpoint
GlobalInfraGetPolicyTransportZoneProfiles,Policy,Global,,/policy/api/v1/global-infra/transport-zone-profiles,List Policy Transport Zone Profiles
ListSegmentSecurityProfiles,Policy,Infra,,/policy/api/v1/infra/segment-security-profiles,List segment security profiles
GlobalInfraGetDownlinkPortDadStateForInfraSegment,Policy,Global,{segmentid},/policy/api/v1/global-infra/segments/{segmentid}/gateway-interface-dad-state,Get DAD state for downlink router port on tier-0 router
ReadStaticARPConfig,Policy,Infra,"{tier1id}, {segmentid}",/policy/api/v1/infra/tier-1s/{tier1id}/segments/{segmentid}/static-arp,Read static ARP config
ListMACSetRealizedStates,Policy,Infra,{enforcementpointid},/policy/api/v1/infra/realized-state/enforcement-points/{enforcementpointid}/mac-sets/mac-sets-nsxt,List MACSets
GetTier1L2VpnSessionStatus,Policy,Infra,"{tier1id}, {localeserviceid}, {serviceid}, {sessionid}",/policy/api/v1/infra/tier-1s/{tier1id}/locale-services/{localeserviceid}/l2vpn-services/{serviceid}/sessions/{sessionid}/detailed-status,Get L2VPN session detailed status under Tier-1
GlobalInfraGetInfraSegmentPortState,Policy,Global,"{segmentid}, {portid}",/policy/api/v1/global-infra/segments/{segmentid}/ports/{portid}/state,Get infra segment port state
GetIdsRule,Policy,Infra,"{domainid}, {policyid}, {ruleid}",/policy/api/v1/infra/domains/{domainid}/intrusion-service-policies/{policyid}/rules/{ruleid},Get IDS rule.
GetIPDiscoveryProfiles,Policy,Infra,,/policy/api/v1/infra/ip-discovery-profiles,List IP Discovery Profiles
GetTier0IPSecVpnSessionWithSensitiveData,Policy,Infra,"{tier0id}, {localeserviceid}, {serviceid}, {sessionid}?action=show_sensitive_data",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/ipsec-vpn-services/{serviceid}/sessions/{sessionid}?action=show_sensitive_data,Get IPSec VPN Session
GetTier0ArpProxies,Policy,Infra,"{tier0id}, {localeserviceid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/arp-proxies,Get Tier-0 Address Resolution Protocol Proxies
readOpsGlobalConfig,Policy,Infra,,/policy/api/v1/infra/ops-global-config,Read global Operations Configuration
GetTier0BgpNeighborRoutesInCsvFormat,Policy,Infra,"{tier0id}, {localeserviceid}, {neighborid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/bgp/neighbors/{neighborid}/routes?format=csv,Get routes learned by BGP neighbor in CSV format
GetTier0BgpNeighborRoutes,Policy,Infra,"{tier0id}, {localeserviceid}, {neighborid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/bgp/neighbors/{neighborid}/routes,Get routes learned by BGP neighbor
GetKubernetesToolsInfo,Policy,Infra,{siteid},/policy/api/v1/infra/sites/{siteid}/napp/deployment/kubernetes-tools,Get information about Kubernetes tools
ListPolicyStaticMimeContents,Policy,Infra,,/policy/api/v1/infra/static-mime-contents,List static mime contents
GlobalInfraListSessionTimerProfileBindings,Policy,Global,{sessiontimerprofileid},/policy/api/v1/global-infra/session-timer-profiles/{sessiontimerprofileid}/bindings,List Session Timer Profiles
GlobalInfraListRealizedEntities,Policy,Global,,/policy/api/v1/global-infra/realized-state/realized-entities,Get list of realized objects associated with intent object
ListServiceSegments,Policy,Infra,,/policy/api/v1/infra/segments/service-segments,List Service Segments
GlobalInfraListInfraSegmentMonitoringBindings,Policy,Global,{infrasegmentid},/policy/api/v1/global-infra/segments/{infrasegmentid}/segment-monitoring-profile-binding-maps,List Infra Segment Monitoring Profile Binding Maps
GlobalInfraListTier1LocaleServices,Policy,Global,{tier1id},/policy/api/v1/global-infra/tier-1s/{tier1id}/locale-services,List Tier-1 locale-services
ReadStaticRouteBfdPeer,Policy,Infra,"{tier0id}, {bfdpeerid}",/policy/api/v1/infra/tier-0s/{tier0id}/static-routes/bfd-peers/{bfdpeerid},Read a StaticRouteBfdPeer
GlobalInfraGetGroupDiscoveryProfileBinding,Policy,Global,"{domainid}, {groupid}, {discoveryprofilebindingmapid}",/policy/api/v1/global-infra/domains/{domainid}/groups/{groupid}/discovery-profile-binding-maps/{discoveryprofilebindingmapid},Get Group discovery profile binding map
GetTier1VpnL2VpnSessionRemoteMacsForLS,Policy,Infra,"{tier1id}, {serviceid}, {sessionid}",/policy/api/v1/infra/tier-1s/{tier1id}/l2vpn-services/{serviceid}/sessions/{sessionid}/remote-mac,Get L2Vpn session remote mac for logical switch
GetSiteOffboardingStatus,Policy,Infra,,/policy/api/v1/infra/site/offboarding-status,Get site offboarding status.
GlobalInfraReadInfraSegmentDhcpStaticBinding,Policy,Global,"{segmentid}, {bindingid}",/policy/api/v1/global-infra/segments/{segmentid}/dhcp-static-binding-configs/{bindingid},Read DHCP static binding
GlobalInfraListQoSProfiles,Policy,Global,,/policy/api/v1/global-infra/qos-profiles,List QoS Profiles
ListALBVirtualService,Policy,Infra,,/policy/api/v1/infra/alb-virtual-services,List ALBVirtualService for infra
GlobalInfraGetGroupSegmentPortMembers,Policy,Global,"{domainid}, {groupid}",/policy/api/v1/global-infra/domains/{domainid}/groups/{groupid}/members/segment-ports,Get segment ports that belong to this Group
GetTier1VpnIPSecVpnService,Policy,Infra,"{tier1id}, {serviceid}",/policy/api/v1/infra/tier-1s/{tier1id}/ipsec-vpn-services/{serviceid},Get IPSec VPN service
GlobalInfraReadPortMirroringProfile,Policy,Global,{portmirroringprofileid},/policy/api/v1/global-infra/port-mirroring-profiles/{portmirroringprofileid},"Details of Port Mirroring Profile
"
ListALBSSOPolicy,Policy,Infra,,/policy/api/v1/infra/alb-sso-policies,List ALBSSOPolicy for infra
GlobalInfraGetTier1RouterLinkArpTable,Policy,Global,{tier1id},/policy/api/v1/global-infra/tier-1s/{tier1id}/tier-0-interface/arp-table,Get tier-1 router link arp information
ListTier0VpnL2VPNSessions,Policy,Infra,"{tier0id}, {serviceid}",/policy/api/v1/infra/tier-0s/{tier0id}/l2vpn-services/{serviceid}/sessions,Get L2VPN sessions list result under Tier-0
ReadVniPoolConfig,Policy,Infra,{vnipoolid},/policy/api/v1/infra/vni-pools/{vnipoolid},Read Vni Pool Configuration
GlobalInfraGetSegmentInterfaceArpTable,Policy,Global,"{tier1id}, {segmentid}",/policy/api/v1/global-infra/tier-1s/{tier1id}/segments/{segmentid}/arp-table,Get ARP table from segment interface (downlink)
ReadCommunicationEntry,Policy,Infra,"{domainid}, {communicationmapid}, {communicationentryid}",/policy/api/v1/infra/domains/{domainid}/communication-maps/{communicationmapid}/communication-entries/{communicationentryid},Read CommunicationEntry
GetInfraSegmentStatistics,Policy,Infra,{segmentid},/policy/api/v1/infra/segments/{segmentid}/statistics,Get infra segment statistics information
ReadPolicyMulticastConfig,Policy,Infra,"{tier0id}, {localeserviceid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/multicast,Read Multicast Configuration
GetPreviewOfConfigurationAfterPublishOfDraft,Policy,Infra,{draftid},/policy/api/v1/infra/drafts/{draftid}/complete,Get a preview of a configuration after publish of a draft
GetOspfDatabase,Policy,Infra,"{tier0id}, {localeserviceid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/ospf/database,Get OSPF database information
GlobalInfraReadTier0Interface,Policy,Global,"{tier0id}, {localeserviceid}, {interfaceid}",/policy/api/v1/global-infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/interfaces/{interfaceid},Read Tier-0 interface
GlobalInfraListShaPredefinedPlugins,Policy,Global,,/policy/api/v1/global-infra/sha/pre-defined-plugins,API will provide list of Sha pre-defined list.
ReadTier0StaticRoutes,Policy,Infra,"{tier0id}, {routeid}",/policy/api/v1/infra/tier-0s/{tier0id}/static-routes/{routeid},Read Tier-0 static routes
ReadALBNetworkProfile,Policy,Infra,{albnetworkprofileid},/policy/api/v1/infra/alb-network-profiles/{albnetworkprofileid},Read ALBNetworkProfile
GetTier1VpnIPSecVpnSessionStatus,Policy,Infra,"{tier1id}, {serviceid}, {sessionid}",/policy/api/v1/infra/tier-1s/{tier1id}/ipsec-vpn-services/{serviceid}/sessions/{sessionid}/detailed-status,Get IPSec VPN session detailed status under Tier-1
ReadIpv6NdraProfile,Policy,Infra,{ndraprofileid},/policy/api/v1/infra/ipv6-ndra-profiles/{ndraprofileid},Read IPv6 NDRA profile
ReadALBWafProfile,Policy,Infra,{albwafprofileid},/policy/api/v1/infra/alb-waf-profiles/{albwafprofileid},Read ALBWafProfile
GetDnsSecurityProfileBinding,Policy,Infra,"{domainid}, {groupid}, {dnssecurityprofilebindingmapid}",/policy/api/v1/infra/domains/{domainid}/groups/{groupid}/dns-security-profile-binding-maps/{dnssecurityprofilebindingmapid},Get DNS security profile binding map
